ID,image,m,n1,n2,n3,a,b,eta,lambda,max_field,avg_field,scattering,extinction,absorption
1,1.png,4.1,2.1844,3.7119,5.4554,1.4495,0.5,25,630.02,10.046,2.8439,6.0983E-16,1.8886E-15,1.2787E-15
2,2.png,4.1,4.4414,1.3059,1.9419,0.71037,0.5,25,630.02,3.7546,1.6197,1.1005E-17,6.935E-17,5.8345E-17
3,3.png,4.1,3.118,4.6181,3.4157,0.44522,0.5,25,630.02,2.6426,1.3778,3.146E-19,6.2325E-18,5.9179E-18
4,4.png,4.1,4.5007,1.6647,2.4664,1.3327,0.5,25,630.02,4.4631,1.7299,2.5228E-17,1.2208E-16,9.6847E-17
5,5.png,4.1,2.733,2.6709,4.4464,1.4664,0.5,25,630.02,6.5802,2.1248,1.1064E-16,4.2254E-16,3.119E-16
6,6.png,4.1,1.3106,3.6004,3.4419,0.53955,0.5,25,630.02,3.0356,1.2932,2.8392E-20,1.542E-18,1.5136E-18
7,7.png,4.1,1.6141,4.4424,4.824,0.50666,0.5,25,630.02,3.729,1.2323,1.9668E-20,1.3807E-18,1.361E-18
8,8.png,4.1,4.1394,3.2699,2.4752,0.75486,0.5,25,630.02,3.1736,1.5977,7.5135E-18,5.453E-17,4.7017E-17
9,9.png,4.1,2.2672,2.5829,3.9773,1.6954,0.5,25,630.02,8.7765,2.5319,3.6768E-16,1.1148E-15,7.4713E-16
10,10.png,4.1,2.1896,2.3062,5.5524,1.553,0.5,25,630.02,7.5716,2.4244,2.1653E-16,8.256E-16,6.0907E-16
11,11.png,4.1,1.8956,0.77871,3.2942,1.0859,0.5,25,630.02,4.8774,1.7865,1.715E-17,1.1285E-16,9.5699E-17
12,12.png,4.1,2.3022,4.2961,2.9618,1.0335,0.5,25,630.02,4.7512,1.7831,2.2162E-17,1.2377E-16,1.0161E-16
13,13.png,4.1,3.5293,1.0241,1.5836,0.43819,0.5,25,630.02,3.5706,1.5635,5.8473E-18,4.609E-17,4.0243E-17
14,14.png,4.1,3.2518,0.90792,2.3994,1.8185,0.5,25,630.02,5.2233,1.7833,3.0169E-17,1.4259E-16,1.1242E-16
15,15.png,4.1,5.792,1.424,3.9634,1.0239,0.5,25,417.08,4.5697,1.9859,1.2916E-16,2.8595E-16,1.5679E-16
16,16.png,4.1,2.4486,4.1521,4.4503,1.4737,0.5,25,417.08,18.344,6.2628,1.3352E-14,2.2461E-14,9.1087E-15
17,17.png,4.1,2.849,4.6891,5.6264,0.88069,0.5,25,417.08,5.9626,2.0626,6.6239E-17,2.1755E-16,1.5131E-16
18,18.png,4.1,4.4895,1.0399,2.8828,0.69832,0.5,25,417.08,4.1599,1.8733,7.9133E-17,1.9051E-16,1.1138E-16
19,19.png,4.1,4.0638,2.6776,3.0232,0.27603,0.5,25,417.08,2.3163,1.4993,4.1153E-18,1.9495E-17,1.538E-17
